date	incidence_abs.BA.1	incidence_abs.BA.1_rm
2021-11-01	639.057236359218	605.335642981599
2021-11-02	776.963151170843	626.462020471347
2021-11-03	578.223728843614	622.937850264719
2021-11-04	790.692856549712	620.226294364289
2021-11-05	555.989283876032	601.407784779226
2021-11-06	444.449979990676	556.852861386417
2021-11-07	556.207823759928	537.37792044896
2021-11-08	507.32766926378	497.767857877002
2021-11-09	465.078687421177	481.759364754631
2021-11-10	441.899142281418	474.737081457813
2021-11-11	513.422418546003	464.984453433123
2021-11-12	443.929832019434	448.737801918759
2021-11-13	395.293996912954	423.411572072726
2021-11-14	487.939427587097	412.663042462563
2021-11-15	393.601108663232	389.723986952301
2021-11-16	287.795078498945	383.560065622556
2021-11-17	366.659435010276	389.404366996464
2021-11-18	352.849029974167	378.767963068504
2021-11-19	400.78238271122	384.521363240303
2021-11-20	436.204106530311	387.299262143149
2021-11-21	413.484600091375	393.273819205537
2021-11-22	433.874909865826	393.645252473283
2021-11-23	307.24037081887	391.689301760988
2021-11-24	408.481334446992	406.550966783887
2021-11-25	355.449062848386	418.325614462842
2021-11-26	387.090727725155	431.347253853383
2021-11-27	540.235761690604	470.043903722606
2021-11-28	495.907133844064	508.430562225656
2021-11-29	525.026385599609	586.363972926547
2021-11-30	578.11691990343	697.043570553818
2021-12-01	677.187943968348	854.359241971193
2021-12-02	900.982937754617	1120.02741976755
2021-12-03	1161.84791111605	1746.89894335936
2021-12-04	1641.44546161223	2856.47700675866
2021-12-05	2355.58437841855	4571.73676183288
2021-12-06	4913.1270507423	6871.35302403165
2021-12-07	8345.1633636985	9943.44598328787
2021-12-08	12684.0062294879	13879.8149711297
2021-12-09	16998.296773146	20463.518568131
2021-12-10	22666.4986259095	29951.3105648322
2021-12-11	29196.0283765054	43741.3627815305
2021-12-12	48441.5095574274	60426.5023502748
2021-12-13	71327.6710276509	79851.789035232
2021-12-14	104875.528880586	101316.639481003
2021-12-15	129479.983210698	125573.571522229
2021-12-16	152975.303567846	150455.35585357
2021-12-17	172920.451746306	175995.919147165
2021-12-18	198994.552665091	201416.126286865
2021-12-19	222613.999876813	226723.761371777
2021-12-20	250111.614082814	251428.678539054
2021-12-21	282816.978858486	276187.772897022
2021-12-22	306633.42880508	300925.745812536
2021-12-23	325909.723738785	324476.533404625
2021-12-24	346234.112252085	345365.281602637
2021-12-25	372160.363073687	363630.762070598
2021-12-26	387469.513021438	379183.193489003
2021-12-27	396332.851468899	391920.737191518
2021-12-28	410675.34213421	401460.689004065
2021-12-29	415500.448733918	406100.992175211
2021-12-30	415072.529656388	405747.630644276
2021-12-31	413013.774939913	401649.736857142
2022-01-01	404642.485271711	392724.020653576
2022-01-02	384995.982304892	380054.412824465
2022-01-03	367647.594958965	364547.569756641
2022-01-04	348195.328709245	346593.599591683
2022-01-05	326813.19393014	327514.309229406
2022-01-06	306524.628181622	309382.997253296
2022-01-07	287335.983785206	291313.957986793
2022-01-08	271087.452735769	274360.038026107
2022-01-09	258076.798472125	258770.902287745
2022-01-10	241164.320093445	244264.868701281
2022-01-11	229517.888984441	232039.321385022
2022-01-12	217689.243761607	222582.615489229
2022-01-13	204982.393076378	214732.194765748
2022-01-14	201757.152571388	209143.38151541
2022-01-15	204890.511465222	206056.380666334
2022-01-16	203123.853407759	205901.834611761
2022-01-17	202042.627341079	208026.67924496
2022-01-18	207908.883040908	211651.09361501
2022-01-19	216607.421379591	215277.345581157
2022-01-20	219856.305508772	220296.5645599
2022-01-21	227128.053161737	226412.878283626
2022-01-22	230274.275228256	232330.661644494
2022-01-23	238258.386258958	237244.62976486
2022-01-24	244856.823407162	240854.806520233
2022-01-25	249333.366566983	243430.340630219
2022-01-26	251005.198222152	245719.986661568
2022-01-27	245127.542796382	245172.361053829
2022-01-28	245156.791931641	243411.924473218
2022-01-29	246301.797447696	239766.146088543
2022-01-30	234425.007004786	234840.939543984
2022-01-31	232533.767342889	227647.153793408
2022-02-01	223812.917874255	219295.085191817
2022-02-02	216528.752410239	208816.15330118
2022-02-03	194771.042542348	198303.861109904
2022-02-04	186692.31172051	186320.906482963
2022-02-05	172949.274213233	174314.960093115
2022-02-06	160838.961665855	161927.365509955
2022-02-07	148653.084954299	151286.85920111
2022-02-08	139771.293145321	141409.27354862
2022-02-09	129815.590328122	132648.56278405
2022-02-10	120287.49838043	124424.505212289
2022-02-11	117549.212153077	117379.397944561
2022-02-12	111624.298861248	110605.856200053
2022-02-13	103270.55866353	105019.313990496
2022-02-14	99337.3340801989	100538.431140277
2022-02-15	92356.5009337678	96397.9644928877
2022-02-16	90709.7948612241	91652.2650436134
2022-02-17	88921.3184288912	87797.7407797326
2022-02-18	88565.9456213545	84879.3525498009
2022-02-19	78404.4027163277	83149.5968222747
2022-02-20	76288.8888163643	81181.266505237
