lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
0	8	2021.9659958941463	2021.955664488748	nonENG	2022.0054794520547	2022.07397260274
1	1	2022.0109589041097	2021.902521452079	nonENG	2022.0109589041097	2022.0109589041097
2	1	2022.035616438356	2021.997557884199	nonENG	2022.035616438356	2022.035616438356
3	1	2022.0657534246573	2021.912840573959	nonENG	2022.0657534246573	2022.0657534246573
4	1	2022.0821917808216	2021.967007599428	nonENG	2022.0821917808216	2022.0821917808216
5	1	2022.0383561643837	2022.036711049621	nonENG	2022.0383561643837	2022.0383561643837
6	1	2021.958904109589	2021.9536079525087	nonENG	2021.958904109589	2021.958904109589
7	1	2022.041095890411	2021.984910240004	nonENG	2022.041095890411	2022.041095890411
8	1	2022.024657534247	2022.000463090462	nonENG	2022.024657534247	2022.024657534247
9	1	2022.0465753424655	2021.9999271226368	nonENG	2022.0465753424655	2022.0465753424655
10	1	2022.0328767123287	2022.029095290896	nonENG	2022.0328767123287	2022.0328767123287
11	3	2022.0089029476208	2022.0024195413791	nonENG	2022.0465753424655	2022.06301369863
12	1	2022.06301369863	2022.017340353293	nonENG	2022.06301369863	2022.06301369863
13	1	2021.975342465753	2021.9700904100284	nonENG	2021.975342465753	2021.975342465753
14	2	2021.9608639969529	2021.9457357738384	nonENG	2021.9890410958903	2021.9917808219177
15	1	2022.019178082192	2022.0042823161973	nonENG	2022.019178082192	2022.019178082192
16	224	2021.8697507131053	2021.8593082345749	nonENG	2021.8986301369864	2022.0082191780823
17	1	2021.9369863013696	2021.9347671867536	nonENG	2021.9369863013696	2021.9369863013696
18	1	2022.0031659579092	2021.95312096817	nonENG	2022.0054794520547	2022.0054794520547
19	1	2021.9616438356163	2021.9549555353603	nonENG	2021.9616438356163	2021.9616438356163
20	1	2022.0054794520547	2021.9813857159836	nonENG	2022.0054794520547	2022.0054794520547
21	1	2022.0164383561644	2021.9895336395996	nonENG	2022.0164383561644	2022.0164383561644
22	1	2022.013698630137	2021.979143334573	nonENG	2022.013698630137	2022.013698630137
23	1	2022.013698630137	2021.9921327765355	nonENG	2022.013698630137	2022.013698630137
24	1	2021.972602739726	2021.9613607250535	nonENG	2021.972602739726	2021.972602739726
25	1	2021.9972602739729	2021.968106087668	nonENG	2021.9972602739729	2021.9972602739729
26	1	2021.945205479452	2021.928186935698	nonENG	2021.945205479452	2021.945205479452
27	1	2021.9397260273968	2021.928127596637	nonENG	2021.9397260273968	2021.9397260273968
