lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
0	1	2022.0821917808216	2021.990780567775	nonENG	2022.0821917808216	2022.0821917808216
1	1	2022.0	2021.960452232804	nonENG	2022.0	2022.0
2	1	2022.0328767123287	2021.9789699599037	nonENG	2022.0328767123287	2022.0328767123287
3	1	2021.9698630136984	2021.950638944616	nonENG	2021.9698630136984	2021.9698630136984
4	1	2022.0082191780823	2021.9673440029203	nonENG	2022.0082191780823	2022.0082191780823
5	1	2022.0054794520547	2021.9501059575696	nonENG	2022.0054794520547	2022.0054794520547
6	1	2021.9698630136984	2021.956496560471	nonENG	2021.9698630136984	2021.9698630136984
7	1	2021.9945205479453	2021.961323313448	nonENG	2021.9945205479453	2021.9945205479453
8	1	2021.9917808219177	2021.9798626809704	nonENG	2021.9917808219177	2021.9917808219177
9	1	2022.0027397260276	2021.9834262052464	nonENG	2022.0027397260276	2022.0027397260276
10	1	2022.013698630137	2021.9841426754165	nonENG	2022.013698630137	2022.013698630137
11	5	2021.938965463811	2021.9315331717676	nonENG	2021.9534246575345	2022.0164383561644
12	15	2021.9461623152708	2021.943547323576	nonENG	2021.9506849315069	2022.0575342465756
13	1	2022.0575342465756	2022.0145715130984	nonENG	2022.0575342465756	2022.0575342465756
14	1	2022.013698630137	2021.9579570695407	nonENG	2022.013698630137	2022.013698630137
15	2	2021.9624967690293	2021.947000627147	nonENG	2021.964383561644	2022.054794520548
16	1	2021.9945205479453	2021.9824774967065	nonENG	2021.9945205479453	2021.9945205479453
17	4	2022.039872462595	2022.0286656300525	nonENG	2022.0465753424655	2022.0821917808216
18	1	2022.0821917808216	2021.9923735823725	nonENG	2022.0821917808216	2022.0821917808216
19	1	2022.0383561643837	2021.977608512881	nonENG	2022.0383561643837	2022.0383561643837
20	2	2022.0258600358973	2022.001579734141	nonENG	2022.0520547945205	2022.0657534246573
21	1	2022.035616438356	2022.0140122436696	nonENG	2022.035616438356	2022.035616438356
22	37	2021.9292574123735	2021.9268426708416	nonENG	2021.9369863013696	2022.0821917808216
23	2	2021.98203455308	2021.9738191534536	nonENG	2022.0109589041097	2022.027397260274
24	1	2022.049315068493	2021.9479069474128	nonENG	2022.049315068493	2022.049315068493
25	1	2021.986301369863	2021.9722600551108	nonENG	2021.986301369863	2021.986301369863
26	1	2021.9479452054795	2021.9368848274576	nonENG	2021.9479452054795	2021.9479452054795
27	1	2022.0109589041097	2021.943916398676	nonENG	2022.0109589041097	2022.0109589041097
28	5	2021.9639203944228	2021.9502475264328	nonENG	2022.0054794520547	2022.054794520548
29	1	2022.021917808219	2021.9838307252485	nonENG	2022.021917808219	2022.021917808219
30	3	2022.023299062998	2021.9794759049496	nonENG	2022.054794520548	2022.0657534246573
31	2	2022.024486507615	2021.986698184776	nonENG	2022.0301369863012	2022.07397260274
32	1	2022.0821917808216	2021.951385303956	nonENG	2022.0821917808216	2022.0821917808216
33	1	2022.013698630137	2022.006958188661	nonENG	2022.013698630137	2022.013698630137
34	1	2022.0794520547945	2022.0695374805528	nonENG	2022.0794520547945	2022.0794520547945
35	1	2022.0520547945205	2022.0306316308336	nonENG	2022.0520547945205	2022.0520547945205
36	3	2021.965302018463	2021.944686415141	nonENG	2022.0383561643837	2022.0821917808216
37	42	2021.9357629624603	2021.9252103409683	nonENG	2021.9506849315069	2022.0821917808216
38	1	2021.9871214272312	2021.9768243859992	nonENG	2021.9917808219177	2021.9917808219177
39	3	2021.9939003752747	2021.9825537749948	nonENG	2022.041095890411	2022.0794520547945
40	1	2022.004386473636	2021.9676562611328	nonENG	2022.035616438356	2022.035616438356
41	2	2022.01878824775	2021.976631174146	nonENG	2022.027397260274	2022.041095890411
42	4	2021.9722803699835	2021.9552213975885	nonENG	2022.019178082192	2022.0794520547945
43	3	2021.976374077923	2021.956581567414	nonENG	2022.0	2022.0794520547945
44	2	2021.9673045541265	2021.9602670777783	nonENG	2021.9698630136984	2022.06301369863
45	6	2021.9419893959505	2021.9326179319776	nonENG	2021.9534246575345	2022.0684931506848
46	3	2021.9973733075967	2021.9826485186309	nonENG	2022.0465753424655	2022.0794520547945
47	1	2022.049315068493	2022.0347376865664	nonENG	2022.049315068493	2022.049315068493
48	6	2021.9456941664696	2021.9405547581537	nonENG	2021.9561643835616	2022.0602739726028
49	14	2021.9533886510053	2021.9476816562271	nonENG	2021.9671232876717	2022.0712328767124
50	2	2022.005265920799	2021.961048914079	nonENG	2022.054794520548	2022.0712328767124
51	1	2022.0082191780823	2021.9741025970204	nonENG	2022.0082191780823	2022.0082191780823
52	1	2022.0712328767124	2022.0113554063123	nonENG	2022.0712328767124	2022.0712328767124
53	1	2021.9808219178085	2021.96892279799	nonENG	2021.9808219178085	2021.9808219178085
54	1	2022.027397260274	2021.9844191610905	nonENG	2022.027397260274	2022.027397260274
55	1	2021.9671232876717	2021.959110965781	nonENG	2021.9671232876717	2021.9671232876717
56	1	2022.021917808219	2021.984233846412	nonENG	2022.021917808219	2022.021917808219
57	1	2022.0301369863012	2021.9859115847528	nonENG	2022.0301369863012	2022.0301369863012
58	1	2022.0465753424655	2021.9654227398323	nonENG	2022.0465753424655	2022.0465753424655
59	2	2022.0228392435097	2021.9780431350985	nonENG	2022.0328767123287	2022.0328767123287
60	1	2022.0328767123287	2021.956602109293	nonENG	2022.0328767123287	2022.0328767123287
61	2	2021.964328360325	2021.9480672754555	nonENG	2021.975342465753	2021.9917808219177
62	2	2022.0057681705607	2021.9715872777288	nonENG	2022.0109589041097	2022.0328767123287
63	1	2022.041095890411	2021.9541436125985	nonENG	2022.041095890411	2022.041095890411
64	1	2022.054794520548	2021.97810893728	nonENG	2022.054794520548	2022.054794520548
65	1	2022.0684931506848	2021.964333870384	nonENG	2022.0684931506848	2022.0684931506848
66	1	2022.0082191780823	2021.977431407424	nonENG	2022.0082191780823	2022.0082191780823
67	1	2022.0054794520547	2021.974978028509	nonENG	2022.0054794520547	2022.0054794520547
68	1	2022.0164383561644	2022.0096284881115	nonENG	2022.0164383561644	2022.0164383561644
69	1	2022.013698630137	2021.984699057476	nonENG	2022.013698630137	2022.013698630137
70	1	2022.027397260274	2022.0087882966427	nonENG	2022.027397260274	2022.027397260274
71	1	2022.06301369863	2022.0273543791448	nonENG	2022.06301369863	2022.06301369863
