code,0_4,5_11,12_15,16_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_999,total
E06000047,25658,42021,23598,10702,50066,34101,30856,31195,28450,32439,38266,39370,34845,31052,31144,21669,15151,8446,4120,533149
E06000005,5692,9229,5201,2511,7293,6341,6669,6562,6412,7069,7776,7731,6785,5818,5992,4132,3226,1932,1031,107402
E06000001,5147,8221,4627,2113,7083,6122,6163,5671,5055,5635,6594,7003,6031,5172,5051,3154,2582,1564,848,93836
E06000002,9431,13531,6993,3174,14181,11124,10063,8639,7294,7920,8380,9136,8205,6772,6107,4246,3274,1931,884,141285
E06000057,14506,23645,13917,6733,20064,16286,17121,17553,17743,20041,23477,26299,25067,22490,22858,15486,10638,6336,3560,323820
E06000003,6954,11435,6316,2902,9579,8183,8208,7697,6999,8072,9849,10374,9372,8187,8589,6175,4500,2472,1365,137228
E06000004,11077,18239,10094,4611,12937,12792,13244,13214,11612,12338,13965,14046,12302,10498,9989,6732,5018,3121,1590,197419
E08000037,10174,16082,8712,4233,16464,13644,13861,13772,12190,12486,13813,14159,12457,10339,10709,7495,5974,3595,1791,201950
E08000021,16383,24152,12570,5817,53526,29941,23347,18107,15337,15661,16174,16522,15133,12157,11759,7639,6226,4042,2331,306824
E08000022,11256,16842,9561,4358,13730,11911,13416,14206,13476,13997,14729,15313,13427,12029,11730,7642,5778,3534,1936,208871
E08000023,8130,12225,6726,3174,10877,9531,10033,9276,8347,9169,10827,11537,10467,8768,8400,5455,4313,2542,1336,151133
E08000024,14370,22347,12348,5900,22080,19843,18907,16491,15176,17196,19209,20173,18597,15897,15179,10074,7781,4494,1784,277846
E06000008,10307,15513,8698,4135,12959,9896,10132,10646,9199,9660,10004,9131,7764,6579,6234,3923,2944,1579,727,150030
E06000009,7995,11765,6323,3027,10371,8477,8476,7622,7308,8706,10440,10499,8939,7405,7769,5584,4068,2314,1293,138381
E06000049,20193,31284,18062,8529,23176,19540,20366,21955,22530,26892,29967,29999,25026,22549,24342,17660,12485,7464,4648,386667
E06000050,18059,28069,15782,7268,25402,19648,19378,20166,19529,22868,25221,25609,21909,19558,20588,14620,10475,6083,3591,343823
E06000006,7374,11888,6692,2891,9491,8181,8383,8385,7702,8548,8847,9083,8189,7453,7045,4222,2886,1707,792,129759
E06000007,11267,18218,9947,4745,14311,12328,13356,13686,12944,14693,15980,15569,12301,10637,10883,8069,5788,3094,1581,209397
E07000026,4395,7417,4243,1988,6294,5215,5025,5166,5032,6241,7735,7679,7008,6412,6707,4686,3363,1986,1239,97831
E07000027,3553,5154,3016,1375,4976,4134,4037,3735,3419,4230,5129,5022,4337,3864,4040,3041,2059,1022,583,66726
E07000028,5614,8833,4786,2329,7504,6334,5996,6501,5978,7040,7896,8171,7489,6458,6519,4552,3379,2025,1120,108524
E07000029,3260,5219,2939,1415,4428,3851,3826,3709,3545,4302,5252,5587,5085,4338,4279,3017,2178,1191,620,68041
E07000030,2147,3684,2235,1069,3086,2574,2488,2565,2652,3344,4342,4648,4271,4022,3947,2770,2011,1145,754,53754
E07000031,4049,6827,4515,2311,6441,4542,4320,5149,5227,6566,8057,8728,8078,7416,8373,5877,4258,2602,1569,104905
E08000001,18984,28070,14961,6916,22347,18414,19699,18783,17109,18682,20046,18567,15614,13558,14027,9885,6765,3751,2070,288248
E08000002,11454,17543,9700,4483,13547,12067,12960,12696,11320,12547,13544,12947,10846,9165,9841,6836,4855,2748,1609,190708
E08000003,36158,50639,25734,11341,85716,64937,53258,41921,32353,28195,28639,25275,20018,15897,13498,9077,6762,3935,2388,555741
E08000004,16184,23792,13291,6183,19832,15854,16377,15814,13995,14807,15867,14803,12412,10597,10513,7560,5253,2857,1637,237628
E08000005,14978,21857,11724,5287,17470,15131,15954,14840,13383,14176,15250,14210,12472,10700,10111,6878,4780,2807,1651,223659
